국가코드,국가,기준월,수출액_USD,전년동월_수출액_USD,YoY_%,MoM_%,수출액_십억달러,전체수출대비_비중_%
MD,몰도바,2026-07-01,10234047,5653273.0,81.02870673324993,54.55622375905167,0.010234047,0.010341693813139792
BY,벨라루스,2026-07-01,8799173,6887718.0,27.75164430367214,-6.416695639448344,0.008799173,0.008891727092405058
IR,이란,2026-07-01,8297825,10240525.0,-18.970707068241133,79.41472118238914,0.008297825,0.008385105663968193
BZ,벨리제,2026-07-01,8157155,2157598.0,278.06648875277045,101.35415936420986,0.008157155,0.008242956026713804
ZZ,기타국,2026-07-01,7468046,5334785.0,39.987759581688856,-34.843771280012746,0.007468046,0.007546598634386121
SD,수단,2026-07-01,7465273,6202907.0,20.351199848716096,33.2980682218313,0.007465273,0.007543796466588393
NI,니카라과,2026-07-01,6558604,9623396.0,-31.847302137415934,-13.371841757953785,0.006558604,0.006627590669618177
MU,모리셔스,2026-07-01,6031172,2959117.0,103.8166115094469,140.49653082382966,0.006031172,0.006094610876653386
CG,콩고,2026-07-01,5948707,1077251.0,452.2117872250757,154.2018442399657,0.005948707,0.006011278468633316
ET,에티오피아,2026-07-01,5775402,22946895.0,-74.83144451569592,-60.52227547299738,0.005775402,0.005836150560164047
VE,베네주엘라,2026-07-01,5595853,3550357.0,57.613811794137895,-32.64370763038287,0.005595853,0.00565471297418702
LU,룩셈부르그,2026-07-01,5460601,4984787.0,9.54532259853831,40.03756491732153,0.005460601,0.005518038326160215
MG,마다카스카르,2026-07-01,5450195,4529106.0,20.337104055414024,39.95870723868782,0.005450195,0.005507522870659616
TT,트리니다드 토바고,2026-07-01,5366696,6676659.0,-19.62003750678296,89.24390538044517,0.005366696,0.00542314558651158
CY,사이프러스,2026-07-01,4870279,6661023.0,-26.88391858127498,-26.73455041284295,0.004870279,0.004921507024793287
RE,불령 리유니온 코모도 제도,2026-07-01,4817058,1700266.0,183.31202294229257,208.66724892172815,0.004817058,0.0048677262197579846
MQ,마티니크,2026-07-01,4725954,307420.0,1437.2955565675622,200.2254571558348,0.004725954,0.00477566394242505
AM,아르메니아,2026-07-01,4688168,4192926.0,11.811369912085269,137.4791238104308,0.004688168,0.00473748049042182
ZM,잠비아,2026-07-01,4616546,2256071.0,104.62769123844065,262.70560838712515,0.004616546,0.004665105134486412
CM,카메룬,2026-07-01,4595711,1913175.0,140.21383302625216,220.71654927488797,0.004595711,0.004644050981559738
CD,콩고민주공화국,2026-07-01,4588715,2401156.0,91.10440970932333,-18.956149003490808,0.004588715,0.004636981394140731
BN,브루나이,2026-07-01,4580334,3400138.0,34.71023823150708,38.90727372199463,0.004580334,0.0046285122386006084
TG,토고,2026-07-01,4508610,2431823.0,85.40041771132192,-6.714952596172186,0.00450861,0.004556033809778302
WS,사모아,2026-07-01,4489467,4348372.0,3.244777585726344,-2.4031459048367676,0.004489467,0.0045366894541519365
GY,가이아나,2026-07-01,3725734,4108577.0,-9.318141049808727,22.132788733871813,0.003725734,0.003764923129354846
YE,예맨,2026-07-01,3506480,3343601.0,4.871364735206152,-22.67728425813872,0.00350648,0.003543362906375007
GN,기니,2026-07-01,3467046,7359640.0,-52.89109249908963,-14.360156338190643,0.003467046,0.003503514119885424
