대시보드품목,조회HS,국가코드,국가,기준월,수출액_USD,전년동월_수출액_USD,YoY_%,MoM_%,수출액_십억달러,품목총수출_USD,품목수출대비_비중_%
승용차,8703,BO,볼리비아,2026-07-01,552398,133026.0,315.2556643062258,136.81845853089715,0.000552398,5954827283,0.009276473921871767
승용차,8703,BI,부룬디,2026-07-01,12380,36489.0,-66.07196689413249,14.916921934465787,1.238e-05,5954827283,0.0002078985571142047
승용차,8703,BF,부르키나 파소,2026-07-01,47164,199919.0,-76.40844542039527,-60.00576627913878,4.7164e-05,5954827283,0.0007920296888315309
승용차,8703,MP,북마리아나 군도,2026-07-01,219381,71386.0,207.31656067015942,125.66579231600063,0.000219381,5954827283,0.0036840867009912234
승용차,8703,BG,불가리아,2026-07-01,9360585,6795711.0,37.74254084671935,-20.39910042998807,0.009360585,5954827283,0.15719322417163717
승용차,8703,GF,불령 가이아나,2026-07-01,198406,194051.0,2.244255376163995,-55.85258234557215,0.000198406,5954827283,0.0033318514638772945
승용차,8703,RE,불령 리유니온 코모도 제도,2026-07-01,4388361,880796.0,398.22671765085215,592.1213793973614,0.004388361,5954827283,0.07369417770567435
승용차,8703,PF,불령 폴리네시아,2026-07-01,3324299,755143.0,340.2211236812101,99.04003554137732,0.003324299,5954827283,0.055825279928610146
승용차,8703,BN,브루나이,2026-07-01,605863,1424751.0,-57.47586771302494,67.40940302012959,0.000605863,5954827283,0.010174316923173134
승용차,8703,WS,사모아,2026-07-01,366536,58462.0,526.9645239642845,684.7056304859773,0.000366536,5954827283,0.006155275083231998
승용차,8703,SA,사우디아라비아,2026-07-01,134433890,86815413.0,54.85025683169877,-15.627336471627773,0.13443389,5954827283,2.257561531361043
승용차,8703,CY,사이프러스,2026-07-01,1593602,4530598.0,-64.82579120901921,-53.45682524309841,0.001593602,5954827283,0.02676151505769878
승용차,8703,SN,세네갈,2026-07-01,4205743,3203225.0,31.29714584520289,-12.053375947324152,0.004205743,5954827283,0.07062745567796176
승용차,8703,SC,세이쉘,2026-07-01,573311,975861.0,-41.250751900116924,54.43469312990259,0.000573311,5954827283,0.009627667986890293
