HSK10,수출액_USD,Master포함
1516300000,0.0,True
1517100000,30914.0,True
1517902000,219762.0,True
1517909000,514543.0,True
1518001000,0.0,True
1518002000,784449.0,True
1518009010,1187500.0,True
1518009090,13664852.0,True
1520000000,3598851.0,True
1521101000,29257.0,True
1521102000,0.0,True
1521109000,25819.0,True
1521901000,0.0,True
1521902000,517586.0,True
1521909000,227.0,True
1522000000,0.0,True
1601001000,142713.0,True
1601009000,803131.0,True
1602209000,0.0,True
1602321010,936742.0,True
1602321090,142943.0,True
1602329000,280267.0,True
1602391000,67.0,True
1602399000,198913.0,True
1602411000,2355677.0,True
1602419000,16982.0,True
1602491000,838473.0,True
1602499000,915692.0,True
1602501000,7475.0,True
1602509000,17464.0,True
1602901000,14574.0,True
1602909000,28370.0,True
1603001000,23271.0,True
1603003000,22396.0,True
1603004000,9341.0,True
1603009000,673049.0,True
1604111000,2422.0,True
1604119000,59.0,True
1604121000,0.0,True
1604129000,0.0,True
1604131000,0.0,True
1604139000,13.0,True
1604141011,572581.0,True
1604141019,604939.0,True
1604141021,840166.0,True
1604141029,1314154.0,True
1604141039,288.0,True
1604149000,6553.0,True
1604151000,47162.0,True
1604159000,3781.0,True
1604161000,45691.0,True
1604169000,163550.0,True
1604171000,1554.0,True
1604179000,103503.0,True
1604180000,0.0,True
1604191010,164898.0,True
1604191090,40631.0,True
1604199010,237745.0,True
1604199090,274881.0,True
1604201000,0.0,True
1604202000,1484.0,True
1604203000,211116.0,True
1604204010,2442409.0,True
1604204090,2036244.0,True
1604209000,629186.0,True
1604310000,1575.0,True
1604320000,695164.0,True
1605101010,32525.0,True
1605101091,2125029.0,True
1605101099,21998.0,True
1605109000,820867.0,True
1605211000,9835.0,True
1605219000,9271.0,True
1605290000,23081.0,True
1605301000,294.0,True
1605309000,0.0,True
1605401000,0.0,True
1605409000,0.0,True
1605511000,1176641.0,True
1605519000,1661891.0,True
1605520000,5207.0,True
1605531000,384912.0,True
1605539000,192303.0,True
1605541000,12408.0,True
1605542010,13676.0,True
1605542091,542023.0,True
1605542099,225128.0,True
1605550000,508916.0,True
1605561010,457114.0,True
1605561090,0.0,True
1605562090,21388.0,True
1605569010,2231.0,True
1605569090,45258.0,True
1605571000,40923.0,True
1605579000,30002.0,True
1605581000,0.0,True
1605589000,0.0,True
1605591010,171003.0,True
1605591090,123.0,True
1605592090,5626.0,True
1605599010,665.0,True
1605599090,183485.0,True
1605611000,25300.0,True
1605619000,1464494.0,True
1605621000,0.0,True
1605639000,8040.0,True
1605690000,29683.0,True
1701122000,5699.0,True
1701130000,6.0,True
1701141000,0.0,True
1701142000,17413.0,True
1701910000,27888.0,True
1701990000,10982700.0,True
1702111000,1646.0,True
1702119000,0.0,True
1702191000,5920.0,True
1702199000,4126.0,True
1702201000,0.0,True
1702202000,2090.0,True
1702301000,364826.0,True
1702302000,262603.0,True
1702401000,3458.0,True
1702402000,938.0,True
1702500000,93.0,True
1702601000,0.0,True
1702602000,1405503.0,True
1702901000,3382.0,True
1702902000,8206.0,True
1702903000,37222.0,True
1702909000,2788003.0,True
1703109000,0.0,True
1703909000,0.0,True
1704100000,679545.0,True
1704901000,53893.0,True
1704902010,15852.0,True
1704902020,54664.0,True
1704902090,3725386.0,True
1704909000,4172381.0,True
1801001000,0.0,True
1801002000,0.0,True
1802001000,0.0,True
1803100000,0.0,True
1804000000,0.0,True
1805000000,1411.0,True
1806100000,1968691.0,True
1806201000,120788.0,True
1806209010,5119.0,True
1806209090,468238.0,True
1806311000,295374.0,True
1806319000,5406.0,True
1806321000,556868.0,True
1806329000,9743.0,True
1806901000,589783.0,True
1806902111,0.0,True
1806902910,109.0,True
1806902920,0.0,True
1806902991,0.0,True
1806902999,0.0,True
1806903010,496409.0,True
1806903099,833.0,True
1806909010,0.0,True
1806909090,1230879.0,True
1901101010,7075844.0,True
1901101090,227875.0,True
1901109010,51426.0,True
1901109090,10706.0,True
1901201000,27128.0,True
1901202000,0.0,True
1901209000,4385111.0,True
1901901000,11504.0,True
1901902010,138897.0,True
1901902020,63970.0,True
1901909010,111.0,True
1901909091,8227423.0,True
1901909092,2307.0,True
1901909099,4310652.0,True
1902111000,18588.0,True
1902112000,0.0,True
1902119000,23229.0,True
1902191000,3277963.0,True
1902192000,1340990.0,True
1902193000,762912.0,True
1902199000,890035.0,True
1902200000,6426690.0,True
1902301010,151080944.0,True
1902301090,6897679.0,True
1902309000,3195077.0,True
1902400000,0.0,True
1903001000,1484.0,True
1903009000,0.0,True
1904101000,994820.0,True
1904102000,19376.0,True
1904103000,201205.0,True
1904109000,2958698.0,True
1904201000,0.0,True
1904209000,35558.0,True
1904300000,0.0,True
1904901010,10920601.0,True
1904901090,70467.0,True
1904909000,2546029.0,True
1905100000,247.0,True
1905200000,1164.0,True
1905310000,1616611.0,True
1905320000,289817.0,True
1905400000,181926.0,True
1905901010,1255332.0,True
1905901020,17855.0,True
1905901030,7335497.0,True
1905901040,12807427.0,True
1905901050,637712.0,True
1905901090,16859910.0,True
1905909010,0.0,True
1905909020,9010.0,True
1905909090,3030004.0,True
2001100000,67692.0,True
2001901000,1657.0,True
2001909020,0.0,True
2001909030,0.0,True
2001909050,10.0,True
2001909060,11366.0,True
2001909070,0.0,True
2001909090,352484.0,True
2002100000,73.0,True
2002901000,0.0,True
2002909000,53.0,True
2003104000,139.0,True
2003109000,0.0,True
2003901000,715.0,True
2003902000,0.0,True
2003903000,0.0,True
2003909000,0.0,True
2004100000,52017.0,True
2004909000,140208.0,True
2005109000,0.0,True
2005201000,619.0,True
2005209000,629349.0,True
2005400000,8664.0,True
2005511000,0.0,True
2005512000,160054.0,True
2005519000,21325.0,True
2005591000,0.0,True
2005592000,8446.0,True
2005599000,2687.0,True
2005600000,0.0,True
2005700000,639.0,True
2005800000,24845.0,True
2005910000,275.0,True
2005991000,14450380.0,True
2005992000,0.0,True
2005994000,0.0,True
2005999000,1093185.0,True
2006001000,407.0,True
2006002000,0.0,True
2006003000,62735.0,True
2006004000,0.0,True
2006006090,0.0,True
2006008000,0.0,True
2006009010,0.0,True
2006009020,0.0,True
2006009030,0.0,True
2006009090,56163.0,True
2007100000,1326.0,True
2007911000,6540.0,True
2007919000,16.0,True
2007991000,155363.0,True
2007999000,161018.0,True
2008111000,6800.0,True
2008119000,25279.0,True
2008191000,67669.0,True
2008192000,1779.0,True
2008193000,6182.0,True
2008199000,2714438.0,True
2008200000,994.0,True
2008301000,3485730.0,True
2008309000,497454.0,True
2008400000,363.0,True
2008500000,0.0,True
2008600000,0.0,True
2008701000,11662.0,True
2008709000,4026.0,True
2008800000,34231.0,True
2008910000,0.0,True
2008930000,13.0,True
2008971010,101.0,True
2008971090,0.0,True
2008972000,0.0,True
2008979000,70372.0,True
2008991000,0.0,True
2008992000,24292.0,True
2008993000,16837.0,True
2008994000,301312.0,True
2008995010,58456175.0,True
2008995090,2688033.0,True
2008999000,2189130.0,True
2009110000,0.0,True
2009120000,27.0,True
2009190000,3280.0,True
2009210000,504487.0,True
2009290000,0.0,True
2009311000,39984.0,True
2009312000,0.0,True
2009319000,757045.0,True
2009391000,4003.0,True
2009392000,0.0,True
2009399000,594577.0,True
2009410000,0.0,True
2009490000,3513.0,True
2009500000,0.0,True
2009610000,2065.0,True
2009690000,8401.0,True
2009710000,16094.0,True
2009790000,27356.0,True
2009810000,0.0,True
2009891010,1773.0,True
2009891020,7395.0,True
2009891030,0.0,True
2009891090,270513.0,True
2009892000,80667.0,True
2009901010,267.0,True
2009901020,7774.0,True
2009901030,110295.0,True
2009901090,468209.0,True
2009902000,4059.0,True
2009909000,239204.0,True
2101111000,5014943.0,True
2101119000,140545.0,True
2101121000,2205113.0,True
2101129010,4569597.0,True
2101129090,531850.0,True
2101201000,2089893.0,True
2101209011,171183.0,True
2101209019,31621.0,True
2101209090,499968.0,True
2101301000,112477.0,True
2101309000,607903.0,True
2102101000,0.0,True
2102102000,0.0,True
2102103000,66.0,True
2102104000,0.0,True
2102109000,199.0,True
2102201000,2185.0,True
2102202000,1342.0,True
2102203010,0.0,True
2102203090,7369.0,True
2102204010,7627.0,True
2102204090,11467.0,True
2102209000,733239.0,True
2102300000,0.0,True
2103100000,1665169.0,True
2103201000,458979.0,True
2103202000,23562.0,True
2103301000,75006.0,True
2103302000,20349.0,True
2103901010,760476.0,True
2103901020,383346.0,True
2103901030,5928726.0,True
2103901090,1037046.0,True
2103909010,1415469.0,True
2103909020,302280.0,True
2103909030,3628692.0,True
2103909040,5432.0,True
2103909050,9709.0,True
2103909090,19123528.0,True
2104101000,302446.0,True
2104102000,397510.0,True
2104103000,416099.0,True
2104109000,1412417.0,True
2104200000,60033.0,True
2105001010,555043.0,True
2105001090,8770175.0,True
2105009010,371430.0,True
2105009090,476119.0,True
2106101000,585373.0,True
2106109020,446820.0,True
2106109030,748024.0,True
2106901010,681.0,True
2106901020,2675552.0,True
2106901090,869762.0,True
2106902000,635042.0,True
2106903011,82854.0,True
2106903019,19138.0,True
2106903021,150229.0,True
2106903029,1671954.0,True
2106909010,4326975.0,True
2106909021,717.0,True
2106909022,113300.0,True
2106909023,0.0,True
2106909030,169928.0,True
2106909040,231381.0,True
2106909050,602327.0,True
2106909060,5867.0,True
2106909070,53884.0,True
2106909080,24734.0,True
2106909091,2624.0,True
2106909099,77894673.0,True
2201100000,444200.0,True
2201901000,99615.0,True
2201909000,72186.0,True
2202101000,9470197.0,True
2202109000,7741924.0,True
2202910000,176225.0,True
2202991000,3859546.0,True
2202992000,13274489.0,True
2202993000,159255.0,True
2202999000,37408632.0,True
2203000000,9161752.0,True
2204100000,0.0,True
2204211000,33320.0,True
2204212000,6807.0,True
2204219000,1000.0,True
2204221000,0.0,True
2204222000,0.0,True
2204229000,0.0,True
2204291000,0.0,True
2204292000,0.0,True
2204299000,0.0,True
2205100000,0.0,True
2205900000,0.0,True
2206001010,331836.0,True
2206001020,0.0,True
2206001090,37654.0,True
2206002010,56599.0,True
2206002020,81156.0,True
2206002030,1011094.0,True
2206002090,1625879.0,True
2206009090,571199.0,True
2207101000,0.0,True
2207109010,12382.0,True
2207109090,756238.0,True
2207200000,53783.0,True
2208201000,0.0,True
2208209000,0.0,True
2208301000,151929.0,True
2208302000,0.0,True
2208303000,0.0,True
2208309000,7715.0,True
2208400000,0.0,True
2208500000,20736.0,True
2208600000,0.0,True
2208701000,5288.0,True
2208709000,7304281.0,True
2208901000,0.0,True
2208904000,6518277.0,True
2208906000,930.0,True
2208907000,0.0,True
2208909000,652244.0,True
2209001000,651787.0,True
2209009000,165519.0,True
2301101000,1246780.0,True
2301102000,0.0,True
2301201000,788341.0,True
2301209000,3491795.0,True
2302100000,0.0,True
2302300000,6200.0,True
2302401000,0.0,True
2302409000,0.0,True
2302500000,0.0,True
2303100000,981191.0,True
2303200000,25531.0,True
2303301000,1017600.0,True
2303309000,0.0,True
2304000000,111.0,True
2305000000,0.0,True
2306410000,0.0,True
2306490000,0.0,True
2306500000,0.0,True
2306600000,0.0,True
2306903000,0.0,True
2306909000,0.0,True
2308001000,0.0,True
2308003000,0.0,True
2308009000,0.0,True
2309101000,4121239.0,True
2309102000,5622237.0,True
2309901010,34557.0,True
2309901020,8097.0,True
2309901030,248265.0,True
2309901040,0.0,True
2309901091,0.0,True
2309901099,332423.0,True
2309902010,218534.0,True
2309902020,4600.0,True
2309902030,66188.0,True
2309902099,1064764.0,True
2309903010,0.0,True
2309903020,126731.0,True
2309903030,0.0,True
2309903090,650370.0,True
2309909010,181.0,True
2309909090,5013390.0,True
2401103000,77560.0,True
2401109000,0.0,True
2401201000,903615.0,True
2401202000,372163.0,True
2401203000,0.0,True
2401209000,90805.0,True
2401301000,0.0,True
2401302000,0.0,True
2401309000,2856.0,True
2402101000,3797.0,True
2402103000,108415.0,True
2402201000,73448281.0,True
2402209000,82.0,True
2403191000,0.0,True
2403199000,67279.0,True
2403911000,930446.0,True
2403919000,0.0,True
2403991000,0.0,True
2403992000,0.0,True
2403994000,0.0,True
2403999000,1226288.0,True
2404110000,15458030.0,True
2404121000,20.0,True
2404129000,0.0,True
2404191000,217218.0,True
2404199010,267106.0,True
2404199090,903528.0,True
2404910000,0.0,True
2404920000,0.0,True
2404990000,0.0,True
2424000000,4112572.0,False
2501001010,576.0,True
2501001020,51872.0,True
2501009010,459727.0,True
2501009020,932.0,True
2501009090,204418.0,True
2502000000,2771.0,True
2503000000,79546974.0,True
2504101000,4062.0,True
2504102000,0.0,True
2504109000,85271.0,True
2504900000,4856.0,True
2505100000,110818.0,True
2505901010,0.0,True
2505901020,0.0,True
2505901090,9946.0,True
2505909000,92989.0,True
2506101000,1659.0,True
2506102000,0.0,True
2506103000,100911.0,True
2506200000,0.0,True
2507001010,24464.0,True
2507001090,59580.0,True
2507002000,13247.0,True
2507009000,4877.0,True
2508100000,128018.0,True
2508300000,27400.0,True
2508402000,0.0,True
2508409000,80272.0,True
2508501000,0.0,True
2508502000,93.0,True
2508600000,0.0,True
2508701000,137941.0,True
2508702000,200239.0,True
2509000000,1173.0,True
2510101000,0.0,True
2510201000,0.0,True
2510209000,0.0,True
2511100000,39161.0,True
2512000000,27958.0,True
2513101000,15340.0,True
2513109000,0.0,True
2513201010,0.0,True
2513201030,0.0,True
2513201090,0.0,True
2513202030,2766.0,True
2513202090,28675.0,True
2514001000,0.0,True
2514009000,0.0,True
2515121000,0.0,True
2516110000,0.0,True
2516120000,0.0,True
2516209000,0.0,True
2516901000,772675.0,True
2516909000,0.0,True
2517101000,4497.0,True
2517102000,0.0,True
2517109000,550.0,True
2517300000,0.0,True
2517410000,0.0,True
2517491000,0.0,True
2517492000,0.0,True
2517499000,123903.0,True
2518100000,541712.0,True
2518200000,0.0,True
2519100000,9330.0,True
2519901000,1456.0,True
2519902000,5087.0,True
2519909000,73983.0,True
2520101000,39645.0,True
2520102000,2800.0,True
2520201000,127479.0,True
2520209000,53444.0,True
2521001000,10091.0,True
2521009000,5471.0,True
2522100000,959.0,True
2522200000,34937.0,True
2522300000,0.0,True
2523100000,10448123.0,True
2523210000,57891.0,True
2523290000,316474.0,True
2523300000,653564.0,True
