MTI6코드,품목명,원본파일,원본행,MTI1,MTI2,MTI3,MTI4
229090,기타정밀화학제품,KITA_MTI6_01.xls,104,2,22,229,2290
231000,질소비료,KITA_MTI6_07.xls,81,2,23,231,2310
232000,인산비료,KITA_MTI6_12.xls,78,2,23,232,2320
233000,칼륨비료,KITA_MTI6_08.xls,70,2,23,233,2330
234000,복합비료,KITA_MTI6_03.xls,52,2,23,234,2340
239000,기타비료,KITA_MTI6_05..xls,19,2,23,239,2390
241010,시멘트크링커,KITA_MTI6_05..xls,45,2,24,241,2410
241020,백시멘트,KITA_MTI6_11.xls,65,2,24,241,2410
241030,포트랜드시멘트,KITA_MTI6_07.xls,59,2,24,241,2410
241090,기타시멘트,KITA_MTI6_08.xls,73,2,24,241,2410
242100,타일,KITA_MTI6_10.xls,67,2,24,242,2421
242300,도자기장식품,KITA_MTI6_11.xls,49,2,24,242,2423
242400,위생용기,KITA_MTI6_09.xls,13,2,24,242,2424
242900,기타타일및도자기제품,KITA_MTI6_03.xls,83,2,24,242,2429
243100,판유리,KITA_MTI6_02.xls,33,2,24,243,2431
243200,안전유리,KITA_MTI6_04.xls,84,2,24,243,2432
243300,유리거울,KITA_MTI6_05..xls,43,2,24,243,2433
243400,유리용기,KITA_MTI6_06.xls,49,2,24,243,2434
243500,광학유리,KITA_MTI6_08.xls,100,2,24,243,2435
243700,유리식기및장식품,KITA_MTI6_09.xls,75,2,24,243,2437
243800,유리제벌브,KITA_MTI6_13.xls,15,2,24,243,2438
243900,기타유리제품,KITA_MTI6_03.xls,8,2,24,243,2439
249000,기타요업제품,KITA_MTI6_04.xls,28,2,24,249,2490
251100,펄프,KITA_MTI6_07.xls,21,2,25,251,2511
251200,고지,KITA_MTI6_05..xls,72,2,25,251,2512
252100,신문용지,KITA_MTI6_06.xls,75,2,25,252,2521
252200,인쇄용지,KITA_MTI6_02.xls,36,2,25,252,2522
252300,화장지,KITA_MTI6_08.xls,88,2,25,252,2523
252400,벽지,KITA_MTI6_07.xls,24,2,25,252,2524
252500,크라프트지,KITA_MTI6_07.xls,104,2,25,252,2525
252600,백판지,KITA_MTI6_05..xls,13,2,25,252,2526
252700,골판지원지,KITA_MTI6_04.xls,16,2,25,252,2527
252900,기타종이제품,KITA_MTI6_02.xls,29,2,25,252,2529
