기준월,요청_HSK10,수출액_USD
2025-10-01,8541511000,1326757.0
2025-10-01,8541512000,4288.0
2025-10-01,8541513000,0.0
2025-10-01,8541514000,105053.0
2025-10-01,8541591000,16852644.0
2025-10-01,8541599000,2579931.0
2025-10-01,8541601000,3660330.0
2025-10-01,8541609000,2245603.0
2025-10-01,8541902000,810100.0
2025-10-01,8541903000,1324454.0
2025-10-01,8541909000,5749579.0
2025-10-01,8542311000,2521766438.0
2025-10-01,8542312000,419270.0
2025-10-01,8542313000,239529947.0
2025-10-01,8542314000,635112120.0
2025-10-01,8542321010,2855276459.0
2025-10-01,8542321020,1382969.0
2025-10-01,8542321030,672927526.0
2025-10-01,8542321090,38356386.0
2025-10-01,8542322000,137662.0
2025-10-01,8542323000,4718248739.0
2025-10-01,8542324000,600286607.0
2025-10-01,8542331000,8057408.0
2025-10-01,8542332000,1463545.0
2025-10-01,8542333000,1625319.0
2025-10-01,8542334000,805536.0
2025-10-01,8542391000,816321208.0
2025-10-01,8542392000,1427389.0
2025-10-01,8542393000,14435932.0
2025-10-01,8542394000,16703350.0
2025-10-01,8542900000,31567852.0
2025-10-01,8543901000,30204.0
2025-10-01,8548001000,3472.0
2025-11-01,3818001000,125916708.0
2025-11-01,3818002010,7455.0
2025-11-01,3818002090,150193362.0
2025-11-01,8473304060,2618085597.0
2025-11-01,8523521000,12882416.0
2025-11-01,8523522000,460819.0
2025-11-01,8523529000,2355725.0
2025-11-01,8541101000,5027313.0
2025-11-01,8541109000,19740602.0
2025-11-01,8541211000,8874719.0
2025-11-01,8541219000,11507040.0
2025-11-01,8541291000,101394142.0
2025-11-01,8541299000,18874092.0
2025-11-01,8541301000,49000.0
2025-11-01,8541302000,357848.0
2025-11-01,8541303000,11531.0
2025-11-01,8541304000,23040.0
2025-11-01,8541411000,1423945.0
2025-11-01,8541419000,21024309.0
2025-11-01,8541420000,112932451.0
2025-11-01,8541491000,8953863.0
2025-11-01,8541492000,61782.0
2025-11-01,8541493000,39726984.0
2025-11-01,8541499000,5679672.0
2025-11-01,8541511000,4632554.0
2025-11-01,8541512000,24388.0
2025-11-01,8541513000,5357.0
2025-11-01,8541514000,139947.0
2025-11-01,8541591000,16389594.0
2025-11-01,8541599000,1841350.0
2025-11-01,8541601000,3690688.0
2025-11-01,8541609000,2559499.0
2025-11-01,8541902000,1124627.0
2025-11-01,8541903000,1060297.0
2025-11-01,8541909000,6658088.0
2025-11-01,8542311000,2114562062.0
2025-11-01,8542312000,671255.0
2025-11-01,8542313000,205355861.0
2025-11-01,8542314000,562853983.0
2025-11-01,8542321010,3604209656.0
