기준월,HSK10,수출액_USD,MTI6,산업20
2025-01-01,0602902090,64100.0,032100,농수산식품
2025-01-01,0602909010,0.0,012290,농수산식품
2025-01-01,0602909030,0.0,012990,농수산식품
2025-01-01,0602909040,0.0,012490,농수산식품
2025-01-01,0602909050,4200.0,012910,농수산식품
2025-01-01,0602909090,1742.0,012990,농수산식품
2025-01-01,0603110000,46065.0,012201,농수산식품
2025-01-01,0603120000,0.0,012212,농수산식품
2025-01-01,0603131000,23784.0,012211,농수산식품
2025-01-01,0603132000,0.0,012211,농수산식품
2025-01-01,0603139000,0.0,012211,농수산식품
2025-01-01,0603140000,0.0,012202,농수산식품
2025-01-01,0603150000,0.0,012204,농수산식품
2025-01-01,0603191000,0.0,012203,농수산식품
2025-01-01,0603199000,0.0,012290,농수산식품
2025-01-01,0603900000,0.0,012290,농수산식품
2025-01-01,0604201000,198.0,033900,농수산식품
2025-01-01,0604202000,0.0,033900,농수산식품
2025-01-01,0604209000,0.0,013900,농수산식품
2025-01-01,0604901000,0.0,013900,농수산식품
2025-01-01,0604909000,0.0,013900,농수산식품
2025-01-01,0701100000,22647.0,011210,농수산식품
2025-01-01,0701900000,58.0,011210,농수산식품
2025-01-01,0702001000,47992.0,012107,농수산식품
2025-01-01,0702009000,169101.0,012107,농수산식품
2025-01-01,0703101010,0.0,012111,농수산식품
2025-01-01,0703101090,1787.0,012111,농수산식품
2025-01-01,0703103000,0.0,012112,농수산식품
2025-01-01,0703201000,8149.0,012113,농수산식품
2025-01-01,0703209000,462.0,012113,농수산식품
2025-01-01,0703901000,270.0,012114,농수산식품
2025-01-01,0703902000,5930.0,012190,농수산식품
2025-01-01,0703903000,138.0,012190,농수산식품
2025-01-01,0703909000,1846.0,012190,농수산식품
2025-01-01,0704100000,81.0,012102,농수산식품
2025-01-01,0704200000,0.0,012102,농수산식품
2025-01-01,0704901000,134154.0,012102,농수산식품
2025-01-01,0704902000,127959.0,012101,농수산식품
2025-01-01,0704909000,13978.0,012101,농수산식품
2025-01-01,0705110000,63.0,012103,농수산식품
2025-01-01,0705190000,19571.0,012103,농수산식품
2025-01-01,0705210000,0.0,012190,농수산식품
2025-01-01,0705290000,0.0,012190,농수산식품
2025-01-01,0706101000,18214.0,012106,농수산식품
