산업순위,산업20,기준월,수출액_USD,수출액_bn,MoM_%,YoY_%,3M_YoY_%,세세분류수
17,섬유류,202604,38972735.0,0.038972735,10.940315879028152,14.645497872191203,94.8449746915807,36
17,섬유류,202605,36500284.0,0.036500284,-6.3440530925017224,34.51926064956745,43.07707411149933,36
17,섬유류,202606,26500418.0,0.026500418,-27.39667998199685,21.379286653733498,22.917714577087935,36
17,섬유류,202607,26722288.0,0.026722288,0.8372320768676111,22.15713777052781,26.652350854393525,38
17,섬유류,202608,22500058.0,0.022500058,-15.800406013137803,-3.4522511036559234,12.99769080964024,35
18,생활용품,202501,1468724.0,0.001468724,,,,20
18,생활용품,202502,129754.0,0.000129754,-91.16552871744453,,,20
18,생활용품,202503,185479.0,0.000185479,42.94665289702051,,,20
18,생활용품,202504,548791.0,0.000548791,195.8777004404811,,,20
18,생활용품,202505,776168.0,0.000776168,41.43234856256755,,,20
18,생활용품,202506,224119.0,0.000224119,-71.12493686933756,,,20
18,생활용품,202507,87410.0,8.741e-05,-60.99839817239948,,,20
18,생활용품,202508,429316.0,0.000429316,391.1520421004462,,,20
18,생활용품,202509,393219.0,0.000393219,-8.408025789861085,,,20
18,생활용품,202510,270489.0,0.000270489,-31.21161490161971,,,20
18,생활용품,202511,566375.0,0.000566375,109.38929124659413,,,20
18,생활용품,202512,636243.0,0.000636243,12.335996468770682,,,20
18,생활용품,202601,582018.0,0.000582018,-8.522687086537694,-60.372541062854566,,20
18,생활용품,202602,308858.0,0.000308858,-46.93325635976894,138.03350956425234,,20
18,생활용품,202603,437749.0,0.000437749,41.73147530580397,136.0100065236496,-25.523709371918713,20
18,생활용품,202604,339111.0,0.000339111,-22.533004073110384,-38.20762366729775,25.658315046804248,20
18,생활용품,202605,430637.0,0.000430637,26.9899826310559,-44.51755290091835,-20.056500167501078,20
18,생활용품,202606,420642.0,0.000420642,-2.320980315207477,87.68689847804067,-23.15493474182707,20
18,생활용품,202607,345159.0,0.000345159,-17.944713081432674,294.873584258094,9.997361397521543,20
18,생활용품,202608,563070.0,0.00056307,63.13351238125038,31.155139803780905,79.37233834337817,20
20,가전,202501,400593.0,0.000400593,,,,9
20,가전,202502,243412.0,0.000243412,-39.23708102737692,,,8
20,가전,202503,560771.0,0.000560771,130.3793568106749,,,8
20,가전,202504,455036.0,0.000455036,-18.855290305668447,,,8
20,가전,202505,223380.0,0.00022338,-50.90937859861637,,,9
20,가전,202506,508511.0,0.000508511,127.64392514996868,,,8
20,가전,202507,1439530.0,0.00143953,183.08728818059,,,8
20,가전,202508,170961.0,0.000170961,-88.12383208408299,,,8
20,가전,202509,1612391.0,0.001612391,843.1338141447463,,,8
20,가전,202510,834909.0,0.000834909,-48.21919745272704,,,9
