산업,MTI3,MTI4,MTI6코드,품목명,매칭키워드
자동차,741,7411,741140,하이브리드 트랙터(중고차),하이브리드
자동차,741,7412,741230,하이브리드 승합차(신차),하이브리드
자동차,741,7412,741240,하이브리드 승합차(중고차),하이브리드
자동차,741,7413,741310,내연기관 승용차(신차),승용차
자동차,741,7413,741320,내연기관 승용차(중고차),승용차
자동차,741,7413,741330,하이브리드 승용차(신차),"승용차, 하이브리드"
자동차,741,7413,741340,하이브리드 승용차(중고차),"승용차, 하이브리드"
자동차,741,7413,741350,전기 승용차(신차),승용차
자동차,741,7413,741360,전기 승용차(중고차),승용차
자동차,741,7414,741430,하이브리드 화물차(신차),하이브리드
자동차,741,7414,741440,하이브리드 화물차(중고차),하이브리드
자동차,741,7416,741600,기타자동차,자동차
자동차,742,7420,742000,자동차부품,자동차
자동차,742,7420,742010,자동차용내연기관,자동차
자동차부품,742,7420,742000,자동차부품,자동차부품
선박,518,5182,518260,차량·항공기·선박용 시계,선박
선박,746,7461,746120,화물선,화물선
선박,746,7461,746190,기타선박,선박
선박,746,7462,746200,해양구조물,해양구조물
선박,746,7463,746310,선박용증기터빈,선박
선박,746,7463,746320,선박용가스터빈,선박
선박,746,7463,746330,선박용불꽃점화식엔진,선박
선박,746,7463,746340,선박용압축점화식엔진,선박
선박,746,7464,746400,선박용 부품,선박
일반기계,711,7111,711190,기타금속절삭가공기계,기계
일반기계,711,7112,711220,기타금속성형가공기계,기계
일반기계,711,7113,711300,금속공작기계부품,"기계, 공작기계"
일반기계,713,7131,713100,섬유기계,기계
일반기계,713,7133,713300,피혁가공기계,기계
일반기계,713,7134,713400,섬유및피혁가공기계부품,기계
일반기계,713,7135,713510,고무플라스틱가공기계,기계
일반기계,713,7135,713520,고무플라스틱가공기계부품,기계
일반기계,713,7136,713610,화학기계,기계
일반기계,713,7136,713620,화학기계부품,기계
일반기계,714,7141,714100,제지기계,기계
일반기계,714,7142,714200,제본기계,기계
일반기계,714,7143,714300,지가공기계,기계
일반기계,714,7144,714400,인쇄기계,기계
일반기계,714,7145,714500,제지인쇄기계부품,기계
일반기계,715,7151,715110,식품가공기계,기계
일반기계,715,7151,715120,식품가공기계부품,기계
일반기계,715,7152,715210,식품포장기계,기계
일반기계,715,7152,715220,식품포장기계부품,기계
일반기계,716,7161,716110,목재가공기계,기계
일반기계,716,7161,716120,목재가공기계부품,기계
일반기계,716,7162,716210,광물가공기계,기계
일반기계,716,7162,716220,광물가공기계부품,기계
일반기계,716,7163,716310,유리가공기계,기계
일반기계,716,7163,716320,유리가공기계부품,기계
일반기계,719,7191,719110,적층제조기계(3D프린터),기계
일반기계,719,7191,719190,기타기계류,기계
일반기계,719,7192,719210,적층제조기계(3D프린터) 부품,기계
일반기계,719,7192,719290,기타기계류부품,기계
일반기계,721,7212,721210,광산기계,기계
일반기계,721,7212,721220,광산기계부품,기계
일반기계,722,7221,722100,경작기계,기계
일반기계,722,7222,722200,수확탈곡기계,기계
일반기계,722,7223,722300,낙농기계,기계
일반기계,722,7224,722400,농기계부품,기계
일반기계,722,7229,722900,기타농기계,기계
일반기계,723,7231,723190,기타운반하역기계,기계
일반기계,723,7232,723200,운반하역기계부품,기계
일반기계,729,7290,729010,기타산업기계,"기계, 산업기계"
일반기계,729,7290,729020,기타산업기계부품,"기계, 산업기계"
일반기계,761,7619,761900,기타기계요소,"기계, 기계요소"
일반기계,815,8151,815170,전기계측기,기계
석유제품,133,1331,133110,항공휘발유,휘발유
석유제품,133,1331,133120,자동차휘발유,휘발유
석유제품,133,1332,133200,경유,경유
석유제품,133,1333,133310,제트유,제트유
석유제품,133,1333,133320,등유,등유
석유제품,133,1334,133400,나프타,나프타
석유제품,133,1339,133900,기타석유제품,석유제품
석유화학,211,2110,211010,에틸렌,에틸렌
석유화학,211,2110,211020,프로필렌,프로필렌
석유화학,212,2120,212060,프로필렌옥사이드,프로필렌
석유화학,212,2120,212090,기타석유화학중간원료,석유화학
석유화학,213,2130,213010,에틸렌글리콜,에틸렌
석유화학,214,2140,214001,저밀도에틸렌,에틸렌
석유화학,214,2140,214002,고밀도에틸렌,에틸렌
석유화학,214,2140,214004,폴리프로필렌,프로필렌
석유화학,214,2140,214090,기타합성수지,합성수지
석유화학,215,2150,215070,에틸렌프로필렌고무,"에틸렌, 프로필렌"
석유화학,215,2150,215090,기타합성고무,합성고무
석유화학,219,2190,219000,기타석유화학제품,석유화학
석유화학,310,3103,310310,폴리에틸렌테레프탈레이트필름,에틸렌
석유화학,310,3103,310320,에틸렌중합체필름,에틸렌
석유화학,310,3103,310330,프로필렌중합체필름,프로필렌
석유화학,442,4421,442130,합성수지제가방,합성수지
이차전지,836,8361,836120,연축전지,축전지
이차전지,836,8361,836130,기타축전지,축전지
이차전지,836,8361,836140,축전지부품,축전지
철강,516,5161,516140,철강제 식탁용품 및 주방용품,철강
철강,612,6123,612300,철근,철근
철강,613,6132,613210,철및비합금강열연강판,"강판, 열연"
철강,613,6132,613220,스테인레스강열연강판,"강판, 열연"
