MTI코드,코드길이,품목명,행,코드열,품목명열
3204,4,4단위,460,1,2
320400,6,6단위,1280,1,2
3209,4,4단위,461,1,2
320900,6,6단위,1281,1,2
33,2,2단위,29,1,2
331,3,3단위,136,1,2
3311,4,4단위,462,1,2
331100,6,6단위,1282,1,2
3312,4,4단위,463,1,2
331200,6,6단위,1283,1,2
3319,4,4단위,464,1,2
331900,6,6단위,1284,1,2
332,3,3단위,137,1,2
3320,4,4단위,465,1,2
332000,6,6단위,1285,1,2
333,3,3단위,138,1,2
3331,4,4단위,466,1,2
333100,6,6단위,1286,1,2
3332,4,4단위,467,1,2
333200,6,6단위,1287,1,2
3333,4,4단위,468,1,2
333300,6,6단위,1288,1,2
3339,4,4단위,469,1,2
333900,6,6단위,1289,1,2
4,1,1단위,5,1,2
41,2,2단위,30,1,2
411,3,3단위,139,1,2
4111,4,4단위,470,1,2
411100,6,6단위,1290,1,2
4112,4,4단위,471,1,2
411200,6,6단위,1291,1,2
4113,4,4단위,472,1,2
411310,6,6단위,1292,1,2
411320,6,6단위,1293,1,2
4119,4,4단위,473,1,2
411900,6,6단위,1294,1,2
412,3,3단위,140,1,2
4121,4,4단위,474,1,2
412100,6,6단위,1295,1,2
4122,4,4단위,475,1,2
412200,6,6단위,1296,1,2
4129,4,4단위,476,1,2
412900,6,6단위,1297,1,2
413,3,3단위,141,1,2
4131,4,4단위,477,1,2
413100,6,6단위,1298,1,2
4132,4,4단위,478,1,2
413200,6,6단위,1299,1,2
4133,4,4단위,479,1,2
413300,6,6단위,1300,1,2
4134,4,4단위,480,1,2
413400,6,6단위,1301,1,2
4139,4,4단위,481,1,2
413900,6,6단위,1302,1,2
42,2,2단위,31,1,2
421,3,3단위,142,1,2
4211,4,4단위,482,1,2
421100,6,6단위,1303,1,2
4212,4,4단위,483,1,2
421210,6,6단위,1304,1,2
421220,6,6단위,1305,1,2
421290,6,6단위,1306,1,2
4213,4,4단위,484,1,2
421310,6,6단위,1307,1,2
421320,6,6단위,1308,1,2
421390,6,6단위,1309,1,2
4219,4,4단위,485,1,2
421910,6,6단위,1310,1,2
421990,6,6단위,1311,1,2
422,3,3단위,143,1,2
4221,4,4단위,486,1,2
422110,6,6단위,1312,1,2
422120,6,6단위,1313,1,2
422130,6,6단위,1314,1,2
4222,4,4단위,487,1,2
422200,6,6단위,1315,1,2
4223,4,4단위,488,1,2
422300,6,6단위,1316,1,2
4224,4,4단위,489,1,2
422400,6,6단위,1317,1,2
4225,4,4단위,490,1,2
422500,6,6단위,1318,1,2
4229,4,4단위,491,1,2
422900,6,6단위,1319,1,2
423,3,3단위,144,1,2
4231,4,4단위,492,1,2
423110,6,6단위,1320,1,2
423120,6,6단위,1321,1,2
423190,6,6단위,1322,1,2
4232,4,4단위,493,1,2
423210,6,6단위,1323,1,2
423220,6,6단위,1324,1,2
423290,6,6단위,1325,1,2
4239,4,4단위,494,1,2
423900,6,6단위,1326,1,2
43,2,2단위,32,1,2
431,3,3단위,145,1,2
4311,4,4단위,495,1,2
431110,6,6단위,1327,1,2
431190,6,6단위,1328,1,2
4312,4,4단위,496,1,2
