산업,공식상위MTI,공식상위품목명,MTI6코드,MTI6품목명
전기기기,84,전기기기,849930,전기ㆍ전자 웨이스트와 스크랩
전기기기,84,전기기기,849990,기타 전기부품
바이오헬스,93,바이오헬스,931110,바이오의약품
바이오헬스,93,바이오헬스,931120,화학의약품
바이오헬스,93,바이오헬스,931210,바이오원료
바이오헬스,93,바이오헬스,931220,화학원료
바이오헬스,93,바이오헬스,932010,체외진단용시약
바이오헬스,93,바이오헬스,932020,치과용기기및재료
바이오헬스,93,바이오헬스,932030,영상진단장비
바이오헬스,93,바이오헬스,932040,미용및조직수복용
바이오헬스,93,바이오헬스,932050,안과및광학의료기기
바이오헬스,93,바이오헬스,932060,일반수술및처치용
바이오헬스,93,바이오헬스,932090,기타
화장품,2273,화장품,227310,"향수, 화장수"
화장품,2273,화장품,227320,"메이크업, 기초화장품"
화장품,2273,화장품,227330,두발용 제품
화장품,2273,화장품,227340,면도용 제품
화장품,2273,화장품,227350,인체용 탈취제
화장품,2273,화장품,227360,목욕용 제품
화장품,2273,화장품,227370,세안용품
화장품,2273,화장품,227390,기타화장품
생활용품,5,생활용품,511010,표면활성제
생활용품,5,생활용품,511020,왁스
생활용품,5,생활용품,511030,광택제 등
생활용품,5,생활용품,511040,구강및치과위생용품
생활용품,5,생활용품,511050,화장지 등
생활용품,5,생활용품,511060,면도용품
생활용품,5,생활용품,511070,빗자루
생활용품,5,생활용품,512110,항공기용의자
생활용품,5,생활용품,512120,차량용의자
생활용품,5,생활용품,512130,회전의자
생활용품,5,생활용품,512140,침대겸용의자
생활용품,5,생활용품,512150,그 밖의 의자
생활용품,5,생활용품,512160,의자 부분품
생활용품,5,생활용품,512190,기타가구
생활용품,5,생활용품,512210,침대
생활용품,5,생활용품,512300,식탁
생활용품,5,생활용품,512400,책상
생활용품,5,생활용품,512510,문갑
생활용품,5,생활용품,512520,화장대
생활용품,5,생활용품,512530,장롱
생활용품,5,생활용품,512900,기타가구
생활용품,5,생활용품,513100,피아노
생활용품,5,생활용품,513210,바이올린
생활용품,5,생활용품,513220,첼로
생활용품,5,생활용품,513290,기타현악기
생활용품,5,생활용품,513310,트럼펫
생활용품,5,생활용품,513390,기타관악기
생활용품,5,생활용품,513391,기타관악기
생활용품,5,생활용품,513392,기타관악기
생활용품,5,생활용품,513393,기타관악기
생활용품,5,생활용품,513394,기타관악기
생활용품,5,생활용품,513395,기타관악기
생활용품,5,생활용품,513400,타악기
생활용품,5,생활용품,513500,악기부분품
생활용품,5,생활용품,513900,기타악기
생활용품,5,생활용품,514110,당구용품
생활용품,5,생활용품,514120,볼링용품
생활용품,5,생활용품,514130,스키용품
생활용품,5,생활용품,514140,골프용품
생활용품,5,생활용품,514150,탁구용품
생활용품,5,생활용품,514160,테니스및배드민턴용품
생활용품,5,생활용품,514170,구기용공
생활용품,5,생활용품,514190,기타운동용구
생활용품,5,생활용품,514210,텐트및캠프용품
생활용품,5,생활용품,514220,낚시용구
생활용품,5,생활용품,514290,기타취미오락용구
생활용품,5,생활용품,515110,필기구
생활용품,5,생활용품,515120,미술용구
생활용품,5,생활용품,515130,사무용품
생활용품,5,생활용품,515190,기타문구
생활용품,5,생활용품,515210,인형
생활용품,5,생활용품,515220,승용완구
생활용품,5,생활용품,515230,조립식완구
생활용품,5,생활용품,515240,전자게임기
생활용품,5,생활용품,515250,오락용구
생활용품,5,생활용품,515290,기타완구
생활용품,5,생활용품,516110,자기제 식탁용품 및 주방용품
생활용품,5,생활용품,516120,도자제 식탁용품 및 주방용품
생활용품,5,생활용품,516130,유리제 식탁용품 및 주방용품
생활용품,5,생활용품,516140,철강제 식탁용품 및 주방용품
생활용품,5,생활용품,516150,구리제 식탁용품 및 주방용품
생활용품,5,생활용품,516160,알루미늄제 식탁용품 및 주방용품
생활용품,5,생활용품,516210,스푼
생활용품,5,생활용품,516220,포크
생활용품,5,생활용품,516290,기타
생활용품,5,생활용품,516300,접시세척기
생활용품,5,생활용품,516400,보온용기
생활용품,5,생활용품,517100,유모차
생활용품,5,생활용품,517210,유아용냅킨
생활용품,5,생활용품,517290,유아용냅킨
생활용품,5,생활용품,518110,안경렌즈
생활용품,5,생활용품,518120,안경테
생활용품,5,생활용품,518130,안경
생활용품,5,생활용품,518210,손목시계
생활용품,5,생활용품,518220,자명종시계
생활용품,5,생활용품,518230,벽시계
생활용품,5,생활용품,518240,전자시계
생활용품,5,생활용품,518250,시계줄
생활용품,5,생활용품,518260,차량·항공기·선박용 시계
생활용품,5,생활용품,518270,기타시계
생활용품,5,생활용품,518290,시계부품
생활용품,5,생활용품,518310,귀금속장식품
생활용품,5,생활용품,518320,금은 세공품
생활용품,5,생활용품,518330,진주 장식품
생활용품,5,생활용품,518340,모조 장식품
생활용품,5,생활용품,518410,가발
생활용품,5,생활용품,518440,가속눈썹
생활용품,5,생활용품,518490,기타
생활용품,5,생활용품,521110,우산
생활용품,5,생활용품,521120,양산
생활용품,5,생활용품,521210,장신구
생활용품,5,생활용품,521220,화장용품
생활용품,5,생활용품,521230,라이터
생활용품,5,생활용품,521290,기타휴대용품
생활용품,5,생활용품,524100,운동용 장갑
생활용품,5,생활용품,524200,마구용품
생활용품,5,생활용품,524300,수렵사격용품
생활용품,5,생활용품,525100,조화
생활용품,5,생활용품,525200,패각공예품
생활용품,5,생활용품,525300,유리공예품
생활용품,5,생활용품,525900,기타공예품
생활용품,5,생활용품,529000,기타 생활용품
섬유,4,섬유류,411100,폴리에스터 섬유
섬유,4,섬유류,411200,아크릴섬유
섬유,4,섬유류,411310,나일론섬유
섬유,4,섬유류,411320,아라미드섬유
섬유,4,섬유류,411900,기타합성섬유
섬유,4,섬유류,412100,비스코스섬유
섬유,4,섬유류,412200,아세테이트섬유
섬유,4,섬유류,412900,기타재생섬유
섬유,4,섬유류,413100,견원료
섬유,4,섬유류,413200,모원료
섬유,4,섬유류,413300,면원료
섬유,4,섬유류,413400,마원료
섬유,4,섬유류,413900,기타천연섬유원료
섬유,4,섬유류,421100,견사
섬유,4,섬유류,421210,소모사
섬유,4,섬유류,421220,방모사
섬유,4,섬유류,421290,기타모사
섬유,4,섬유류,421310,순면사
섬유,4,섬유류,421320,혼방면사
섬유,4,섬유류,421390,기타면사
섬유,4,섬유류,421910,마사
섬유,4,섬유류,421990,기타사
섬유,4,섬유류,422110,나일론사
섬유,4,섬유류,422120,아라미드사
섬유,4,섬유류,422130,타이어코드사
섬유,4,섬유류,422200,폴리에스터사
섬유,4,섬유류,422300,비스코스사
섬유,4,섬유류,422400,아세테이트사
섬유,4,섬유류,422500,탄소섬유사
섬유,4,섬유류,422900,기타인조섬유장섬유사
섬유,4,섬유류,423110,P/C사
섬유,4,섬유류,423120,P/W 방적사
섬유,4,섬유류,423190,기타폴리에스터방적사
섬유,4,섬유류,423210,A/C사
섬유,4,섬유류,423220,A/W사
섬유,4,섬유류,423290,기타아크릴방적사
섬유,4,섬유류,423900,기타인조섬유방적사
섬유,4,섬유류,431110,홀치기 견직물
섬유,4,섬유류,431190,기타순견직물
섬유,4,섬유류,431200,혼방견직물
섬유,4,섬유류,431900,견노일직물
섬유,4,섬유류,432100,소모직물
섬유,4,섬유류,432200,방모직물
섬유,4,섬유류,432900,기타모직물
섬유,4,섬유류,433110,생지
섬유,4,섬유류,433120,표백
섬유,4,섬유류,433130,염색
섬유,4,섬유류,433190,선염
섬유,4,섬유류,433210,생지
섬유,4,섬유류,433220,표백
섬유,4,섬유류,433230,염색
섬유,4,섬유류,433290,선염
섬유,4,섬유류,434100,나일론직물
섬유,4,섬유류,434200,폴리에스터직물
섬유,4,섬유류,434300,기타합섬직물
섬유,4,섬유류,434900,재생직물
